Source,Destination,Protocol,Length,Payload Length,Type,Data,Detection
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,118,64,1,0,1
