Source,Destination,Protocol,Length,Payload Length,Window,Flags,Detection
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,16440,0x012,1
